number,value,datetime_start,datetime_complete,duration,params_algo__C,params_algo__kernel,state
0,0.8929577464788733,2024-01-06 17:39:51.167845,2024-01-06 17:39:51.465463,0 days 00:00:00.297618,0.05564180225431373,rbf,COMPLETE
1,0.6267605633802819,2024-01-06 17:39:51.467464,2024-01-06 17:39:51.727599,0 days 00:00:00.260135,0.0003632339256943143,sigmoid,COMPLETE
2,0.8807511737089203,2024-01-06 17:39:51.737502,2024-01-06 17:39:51.905596,0 days 00:00:00.168094,10.260065124896771,sigmoid,COMPLETE
3,0.944600938967136,2024-01-06 17:39:51.907548,2024-01-06 17:39:52.114815,0 days 00:00:00.207267,2110.6995036049584,rbf,COMPLETE
4,0.6267605633802819,2024-01-06 17:39:52.116791,2024-01-06 17:39:52.404525,0 days 00:00:00.287734,0.011026112761510002,rbf,COMPLETE
5,0.8755868544600939,2024-01-06 17:39:52.406418,2024-01-06 17:39:52.549807,0 days 00:00:00.143389,13.137990612765092,sigmoid,COMPLETE
6,0.9492957746478875,2024-01-06 17:39:52.551423,2024-01-06 17:39:52.756197,0 days 00:00:00.204774,0.36366360716958535,rbf,COMPLETE
7,0.9300469483568075,2024-01-06 17:39:52.757317,2024-01-06 17:39:52.914249,0 days 00:00:00.156932,8.397416393796023,poly,COMPLETE
8,0.6267605633802819,2024-01-06 17:39:52.914999,2024-01-06 17:39:53.110434,0 days 00:00:00.195435,4.4721455524694904e-05,poly,COMPLETE
9,0.6643192488262912,2024-01-06 17:39:53.112416,2024-01-06 17:39:53.303012,0 days 00:00:00.190596,0.011120842542974102,poly,COMPLETE
10,0.6267605633802819,2024-01-06 17:39:53.305013,2024-01-06 17:39:53.568213,0 days 00:00:00.263200,0.00016610486342334645,sigmoid,COMPLETE
11,0.6267605633802819,2024-01-06 17:39:53.570193,2024-01-06 17:39:53.857820,0 days 00:00:00.287627,0.0038707918324734553,rbf,COMPLETE
12,0.8779342723004696,2024-01-06 17:39:53.859819,2024-01-06 17:39:54.036493,0 days 00:00:00.176674,2.931587042311713,poly,COMPLETE
13,0.8751173708920188,2024-01-06 17:39:54.038498,2024-01-06 17:39:54.195560,0 days 00:00:00.157062,24830.72588639601,sigmoid,COMPLETE
14,0.6267605633802819,2024-01-06 17:39:54.196559,2024-01-06 17:39:54.457340,0 days 00:00:00.260781,7.672290184186796e-05,sigmoid,COMPLETE
15,0.7450704225352112,2024-01-06 17:39:54.458340,2024-01-06 17:39:54.642229,0 days 00:00:00.183889,0.0770500450348967,poly,COMPLETE
16,0.6267605633802819,2024-01-06 17:39:54.644229,2024-01-06 17:39:54.898463,0 days 00:00:00.254234,0.006446813354450597,sigmoid,COMPLETE
17,0.6267605633802819,2024-01-06 17:39:54.899355,2024-01-06 17:39:55.157306,0 days 00:00:00.257951,5.5655288302015414e-05,rbf,COMPLETE
18,0.6267605633802819,2024-01-06 17:39:55.159300,2024-01-06 17:39:55.424356,0 days 00:00:00.265056,1.1355889848345609e-05,rbf,COMPLETE
19,0.9323943661971832,2024-01-06 17:39:55.425356,2024-01-06 17:39:55.589071,0 days 00:00:00.163715,516.0638842498237,poly,COMPLETE
20,0.944600938967136,2024-01-06 17:39:55.590074,2024-01-06 17:39:55.781462,0 days 00:00:00.191388,4275.9661522465585,rbf,COMPLETE
21,0.6657276995305165,2024-01-06 17:39:55.783474,2024-01-06 17:39:55.992487,0 days 00:00:00.209013,0.012877252667142125,poly,COMPLETE
22,0.8779342723004696,2024-01-06 17:39:55.994487,2024-01-06 17:39:56.156618,0 days 00:00:00.162131,7449.505167783322,sigmoid,COMPLETE
23,0.9314553990610328,2024-01-06 17:39:56.157618,2024-01-06 17:39:56.333181,0 days 00:00:00.175563,405.3689557345558,poly,COMPLETE
24,0.9605633802816901,2024-01-06 17:39:56.335182,2024-01-06 17:39:56.540508,0 days 00:00:00.205326,1.6878284140548432,rbf,COMPLETE
25,0.6267605633802819,2024-01-06 17:39:56.541547,2024-01-06 17:39:56.819517,0 days 00:00:00.277970,2.0620151740610168e-05,rbf,COMPLETE
26,0.8769953051643193,2024-01-06 17:39:56.821499,2024-01-06 17:39:56.962779,0 days 00:00:00.141280,11903.227641050296,sigmoid,COMPLETE
27,0.6399061032863851,2024-01-06 17:39:56.963740,2024-01-06 17:39:57.154105,0 days 00:00:00.190365,0.0019408038941379922,poly,COMPLETE
28,0.8769953051643193,2024-01-06 17:39:57.155738,2024-01-06 17:39:57.299433,0 days 00:00:00.143695,19814.199136703573,sigmoid,COMPLETE
29,0.9314553990610328,2024-01-06 17:39:57.301434,2024-01-06 17:39:57.458045,0 days 00:00:00.156611,1088.2301873180515,poly,COMPLETE
30,0.944600938967136,2024-01-06 17:39:57.459050,2024-01-06 17:39:57.643802,0 days 00:00:00.184752,1186.8656250525428,rbf,COMPLETE
31,0.6267605633802819,2024-01-06 17:39:57.645793,2024-01-06 17:39:57.897935,0 days 00:00:00.252142,0.0019026181063772794,sigmoid,COMPLETE
32,0.6267605633802819,2024-01-06 17:39:57.899937,2024-01-06 17:39:58.176134,0 days 00:00:00.276197,1.173603254878548e-05,rbf,COMPLETE
33,0.6267605633802819,2024-01-06 17:39:58.178133,2024-01-06 17:39:58.381265,0 days 00:00:00.203132,0.00015799875810197284,poly,COMPLETE
34,0.8981220657276995,2024-01-06 17:39:58.383262,2024-01-06 17:39:58.546792,0 days 00:00:00.163530,1.5413675704903524,sigmoid,COMPLETE
35,0.9323943661971832,2024-01-06 17:39:58.548792,2024-01-06 17:39:58.715150,0 days 00:00:00.166358,42118.50518955138,poly,COMPLETE
36,0.6553990610328639,2024-01-06 17:39:58.717159,2024-01-06 17:39:58.913205,0 days 00:00:00.196046,0.007053504435422771,poly,COMPLETE
37,0.6267605633802819,2024-01-06 17:39:58.914205,2024-01-06 17:39:59.107342,0 days 00:00:00.193137,3.271805758909009e-05,poly,COMPLETE
38,0.6267605633802819,2024-01-06 17:39:59.109527,2024-01-06 17:39:59.293735,0 days 00:00:00.184208,0.0002811568836318553,poly,COMPLETE
39,0.9474178403755869,2024-01-06 17:39:59.295736,2024-01-06 17:39:59.471769,0 days 00:00:00.176033,52.64479926514176,rbf,COMPLETE
40,0.7061032863849767,2024-01-06 17:39:59.472798,2024-01-06 17:39:59.656300,0 days 00:00:00.183502,0.04762459848032178,poly,COMPLETE
41,0.6267605633802819,2024-01-06 17:39:59.657833,2024-01-06 17:39:59.922120,0 days 00:00:00.264287,7.996458736748035e-05,rbf,COMPLETE
42,0.6267605633802819,2024-01-06 17:39:59.924121,2024-01-06 17:40:00.130283,0 days 00:00:00.206162,2.557121805028821e-05,poly,COMPLETE
43,0.8633802816901409,2024-01-06 17:40:00.131256,2024-01-06 17:40:00.315165,0 days 00:00:00.183909,1.3210844570647757,poly,COMPLETE
44,0.9394366197183099,2024-01-06 17:40:00.317163,2024-01-06 17:40:00.494438,0 days 00:00:00.177275,81.16660502814378,poly,COMPLETE
45,0.6854460093896714,2024-01-06 17:40:00.497404,2024-01-06 17:40:00.714265,0 days 00:00:00.216861,0.025743258075404278,poly,COMPLETE
46,0.6450704225352113,2024-01-06 17:40:00.715283,2024-01-06 17:40:00.935439,0 days 00:00:00.220156,0.0037967873783487983,poly,COMPLETE
47,0.895774647887324,2024-01-06 17:40:00.936441,2024-01-06 17:40:01.097513,0 days 00:00:00.161072,1.9792733793211603,sigmoid,COMPLETE
48,0.944600938967136,2024-01-06 17:40:01.099513,2024-01-06 17:40:01.290132,0 days 00:00:00.190619,10096.726020561075,rbf,COMPLETE
49,0.944600938967136,2024-01-06 17:40:01.292133,2024-01-06 17:40:01.473743,0 days 00:00:00.181610,181.78447434235906,rbf,COMPLETE
50,0.8807511737089203,2024-01-06 17:40:01.475723,2024-01-06 17:40:01.608269,0 days 00:00:00.132546,26.32185313077115,sigmoid,COMPLETE
51,0.8798122065727699,2024-01-06 17:40:01.609267,2024-01-06 17:40:01.746887,0 days 00:00:00.137620,11.595529806529992,sigmoid,COMPLETE
52,0.6267605633802819,2024-01-06 17:40:01.748980,2024-01-06 17:40:01.981675,0 days 00:00:00.232695,1.1236106280303877e-05,sigmoid,COMPLETE
53,0.9417840375586856,2024-01-06 17:40:01.983673,2024-01-06 17:40:02.137447,0 days 00:00:00.153774,33.083587332714515,poly,COMPLETE
54,0.8004694835680752,2024-01-06 17:40:02.139396,2024-01-06 17:40:02.378306,0 days 00:00:00.238910,0.01794721153226431,sigmoid,COMPLETE
55,0.9507042253521126,2024-01-06 17:40:02.380265,2024-01-06 17:40:02.571686,0 days 00:00:00.191421,37.68156424367594,rbf,COMPLETE
56,0.6488262910798123,2024-01-06 17:40:02.572684,2024-01-06 17:40:02.772905,0 days 00:00:00.200221,0.004487698552502423,poly,COMPLETE
57,0.9323943661971832,2024-01-06 17:40:02.773881,2024-01-06 17:40:02.936465,0 days 00:00:00.162584,8326.558771196982,poly,COMPLETE
58,0.8859154929577464,2024-01-06 17:40:02.937443,2024-01-06 17:40:03.091729,0 days 00:00:00.154286,5.875419039387727,sigmoid,COMPLETE
59,0.6549295774647889,2024-01-06 17:40:03.093742,2024-01-06 17:40:03.295056,0 days 00:00:00.201314,0.006422788548985542,poly,COMPLETE
60,0.944600938967136,2024-01-06 17:40:03.297057,2024-01-06 17:40:03.491152,0 days 00:00:00.194095,25385.507114643468,rbf,COMPLETE
61,0.6267605633802819,2024-01-06 17:40:03.493153,2024-01-06 17:40:03.741016,0 days 00:00:00.247863,1.4274672899644546e-05,sigmoid,COMPLETE
62,0.944600938967136,2024-01-06 17:40:03.742029,2024-01-06 17:40:03.921550,0 days 00:00:00.179521,43271.28286117592,rbf,COMPLETE
63,0.8774647887323944,2024-01-06 17:40:03.922946,2024-01-06 17:40:04.069382,0 days 00:00:00.146436,3246.1360307262767,sigmoid,COMPLETE
64,0.944600938967136,2024-01-06 17:40:04.071276,2024-01-06 17:40:04.249967,0 days 00:00:00.178691,22990.464275110844,rbf,COMPLETE
65,0.9582159624413148,2024-01-06 17:40:04.251005,2024-01-06 17:40:04.430090,0 days 00:00:00.179085,14.12772611695497,rbf,COMPLETE
66,0.944600938967136,2024-01-06 17:40:04.431105,2024-01-06 17:40:04.612959,0 days 00:00:00.181854,5939.237868667628,rbf,COMPLETE
67,0.8957746478873239,2024-01-06 17:40:04.613962,2024-01-06 17:40:04.854917,0 days 00:00:00.240955,0.03934698975228856,sigmoid,COMPLETE
68,0.944600938967136,2024-01-06 17:40:04.856818,2024-01-06 17:40:05.050161,0 days 00:00:00.193343,4685.146612156695,rbf,COMPLETE
69,0.8769953051643193,2024-01-06 17:40:05.051164,2024-01-06 17:40:05.204418,0 days 00:00:00.153254,961.5055372752543,sigmoid,COMPLETE
70,0.9323943661971832,2024-01-06 17:40:05.205416,2024-01-06 17:40:05.387678,0 days 00:00:00.182262,7944.259430226617,poly,COMPLETE
71,0.8868544600938967,2024-01-06 17:40:05.389678,2024-01-06 17:40:05.554192,0 days 00:00:00.164514,6.064589504104212,sigmoid,COMPLETE
72,0.6267605633802819,2024-01-06 17:40:05.555192,2024-01-06 17:40:05.853292,0 days 00:00:00.298100,0.007335209484733057,rbf,COMPLETE
73,0.8774647887323944,2024-01-06 17:40:05.854295,2024-01-06 17:40:05.998521,0 days 00:00:00.144226,1682.6957839703177,sigmoid,COMPLETE
74,0.9323943661971832,2024-01-06 17:40:06.000520,2024-01-06 17:40:06.158576,0 days 00:00:00.158056,501.1128402145557,poly,COMPLETE
75,0.6267605633802819,2024-01-06 17:40:06.160825,2024-01-06 17:40:06.403887,0 days 00:00:00.243062,3.287132510676966e-05,sigmoid,COMPLETE
76,0.944600938967136,2024-01-06 17:40:06.405888,2024-01-06 17:40:06.582350,0 days 00:00:00.176462,182.3531783142981,rbf,COMPLETE
77,0.931924882629108,2024-01-06 17:40:06.584242,2024-01-06 17:40:06.735971,0 days 00:00:00.151729,895.0801947385197,poly,COMPLETE
78,0.6267605633802819,2024-01-06 17:40:06.736867,2024-01-06 17:40:06.999214,0 days 00:00:00.262347,1.792699239122416e-05,rbf,COMPLETE
79,0.9248826291079811,2024-01-06 17:40:07.000088,2024-01-06 17:40:07.211217,0 days 00:00:00.211129,0.12289365027537334,sigmoid,COMPLETE
80,0.963849765258216,2024-01-06 17:40:07.213215,2024-01-06 17:40:07.408084,0 days 00:00:00.194869,3.1064663032928306,rbf,COMPLETE
81,0.944600938967136,2024-01-06 17:40:07.410089,2024-01-06 17:40:07.603297,0 days 00:00:00.193208,35371.44537353218,rbf,COMPLETE
82,0.9300469483568076,2024-01-06 17:40:07.605159,2024-01-06 17:40:07.814956,0 days 00:00:00.209797,0.1570365061657875,sigmoid,COMPLETE
83,0.6267605633802819,2024-01-06 17:40:07.815955,2024-01-06 17:40:08.095263,0 days 00:00:00.279308,1.3929479428254925e-05,rbf,COMPLETE
84,0.944600938967136,2024-01-06 17:40:08.096269,2024-01-06 17:40:08.277307,0 days 00:00:00.181038,3585.9632965524684,rbf,COMPLETE
85,0.9530516431924883,2024-01-06 17:40:08.279308,2024-01-06 17:40:08.472696,0 days 00:00:00.193388,0.8244394239385945,rbf,COMPLETE
86,0.7539906103286388,2024-01-06 17:40:08.473678,2024-01-06 17:40:08.650302,0 days 00:00:00.176624,0.09661561973449768,poly,COMPLETE
87,0.9084507042253521,2024-01-06 17:40:08.652302,2024-01-06 17:40:08.879038,0 days 00:00:00.226736,0.05573476140090857,sigmoid,COMPLETE
88,0.8779342723004696,2024-01-06 17:40:08.880931,2024-01-06 17:40:09.013449,0 days 00:00:00.132518,38.63103253616052,sigmoid,COMPLETE
89,0.6267605633802819,2024-01-06 17:40:09.014448,2024-01-06 17:40:09.208832,0 days 00:00:00.194384,1.8412514650722333e-05,poly,COMPLETE
90,0.9122065727699531,2024-01-06 17:40:09.210811,2024-01-06 17:40:09.476362,0 days 00:00:00.265551,0.0761551472276949,rbf,COMPLETE
91,0.9323943661971832,2024-01-06 17:40:09.478362,2024-01-06 17:40:09.646218,0 days 00:00:00.167856,25980.53486819322,poly,COMPLETE
92,0.631924882629108,2024-01-06 17:40:09.648203,2024-01-06 17:40:09.848717,0 days 00:00:00.200514,0.0009076352365754575,poly,COMPLETE
93,0.6267605633802819,2024-01-06 17:40:09.850620,2024-01-06 17:40:10.126777,0 days 00:00:00.276157,8.798924831210237e-05,rbf,COMPLETE
94,0.931924882629108,2024-01-06 17:40:10.128778,2024-01-06 17:40:10.295292,0 days 00:00:00.166514,2810.302758604483,poly,COMPLETE
95,0.6267605633802819,2024-01-06 17:40:10.297296,2024-01-06 17:40:10.537489,0 days 00:00:00.240193,0.00015193165764385092,sigmoid,COMPLETE
96,0.944600938967136,2024-01-06 17:40:10.539491,2024-01-06 17:40:10.715922,0 days 00:00:00.176431,224.23863342219875,rbf,COMPLETE
97,0.9300469483568075,2024-01-06 17:40:10.716812,2024-01-06 17:40:10.868946,0 days 00:00:00.152134,320.7358580050725,poly,COMPLETE
98,0.9056338028169013,2024-01-06 17:40:10.870849,2024-01-06 17:40:11.094262,0 days 00:00:00.223413,0.05250260569850099,sigmoid,COMPLETE
99,0.8784037558685447,2024-01-06 17:40:11.096263,2024-01-06 17:40:11.235788,0 days 00:00:00.139525,3838.19926937101,sigmoid,COMPLETE
